# -*- encoding=utf-8 -*-
# 中文里有很多量词，常见的如“只”、“个”，其中有几十个量词在英语里没有对应词．这
# 些量词使得在描述事物时显得丰富多采．为了帮助在美国学中文的学生掌握这些量词，
# 现把它们按功能归类说明，以词组形式出现． 
# 1 表示人的量词：个、位、条．位是比较正式客气的用法．条的用法有限．
# 2 表示动物的量词：只、匹、头、条、峰．
# 3 表示人和动物器官部位的量词：个、只、颗、根、张、片条．除了个和只以外其他大
#   都表示形状．
# 4 表示植物的量词：棵、株．
# 5 表示水果的量词：个．例外：一粒葡萄，一根香蕉．
# 6 表示植物部位的量词：朵、片、条、颗、粒．大都表示形状．
# 7 表示食物的量词．
# 8 表示餐具的量词．
# 9 表示家庭用品的量词．包括表示电器仪器的量词：台．
# 10 表示穿戴用品和装饰品的量词． 一件衣服 一件上衣 一条裤子 一个口袋
# 11 表示建筑物的量词：座、栋．
# 12 表示交通工具的量词：辆、列、架、艘．
# 13 表示工具的量词：把
# 14 表示文具的量词
# 15 表示文艺作品的量词：封、则、首、篇、道、幅．
# 16 表示事件和动作的量词：件、顿、场、通．
# 17 表示武器的量词．
# 18 表示地理天文气候的量词．
# 19 表示形状的量词．条、根、支、道、面、片、张、颗、粒、块．例子请见以上各类．
串	事	册	丘	乘	下	丈	丝	两
举	具	美	包	厘	刀	分	列	则
剂	副	些	匝	队	陌	陔	部	出
个	介	令	份	伙	件	任	倍	儋
卖	亩	记	双	发	叠	节	茎	莛
荮	落	蓬	蔸	巡	过	进	通	造
遍	道	遭	对	尊	头	套	弓	引
张	弯	开	庄	床	座	庹	帖	帧
席	常	幅	幢	口	句	号	台	只
吊	合	名	吨	和	味	响	骑	门
间	阕	宗	客	家	彪	层	尾	届
声	扎	打	扣	把	抛	批	抔	抱
拨	担	拉	抬	拃	挂	挑	挺	捆
掬	排	捧	掐	搭	提	握	摊	摞
撇	撮	汪	泓	泡	注	浔	派	湾
溜	滩	滴	级	纸	线	组	绞	统
绺	综	缕	缗	场	块	坛	垛	堵
堆	堂	塔	墩	回	团	围	圈	孔
贴	点	煎	熟	车	轮	转	载	辆
料	卷	截	户	房	所	扇	炉	炷
觉	斤	笔	本	朵	杆	束	条	杯
枚	枝	柄	栋	架	根	桄	梃	样
株	桩	梭	桶	棵	榀	槽	犋	爿
片	版	歇	手	拳	段	沓	班	文
曲	替	股	肩	脬	腔	支	步	武
瓣	秒	秩	钟	钱	铢	锊	铺	锤
锭	锱	章	盆	盏	盘	眉	眼	石
码	砣	碗	磴	票	罗	畈	番	窝
联	缶	耦	粒	索	累	緉	般	艘
竿	筥	筒	筹	管	篇	箱	簇	角
重	身	躯	酲	起	趟	面	首	项
领	顶	颗	顷	袭	群	袋
